Microcontrollers & microprocessors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part Number,General Description,Marketing Status,Package,Core,Operating Frequency (MHz),FPU,Co-Processor type,Co-Processor frequency (MHz) max,Flash Size (kB) (Prog),Dual-bank Flash,Data E2PROM (B) nom,RAM Size (kB),CCM RAM (I/D) (kByte) typ,ITCM/DTCM RAM (kB),Timers (16-bit) typ,Timers (32-bit) typ,Other timer functions,A/D Converters 12-bit,,A/D Converters 14-bit,,A/D Converters 16-bit,,D/A Converters (12-bit) typ,Comparator,Integrated op-amps,I/Os (High Current),SMPS,Display controller,Graphic accelerator,CAN (FD),CAN (2.0),I2C typ,SPI typ,I2S typ,USART typ,UART typ,Ethernet,Ethernet ports typ,I3C typ,Additional Interfaces,External Memory Interfaces,USB Type,Cryptography,Security Functions,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (@ Lowest Power) typ,Supply Current (µA) (Run Mode (per MHz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max,Output Power (dBm) min,Output Power (dBm) max,RX current (mA) typ,RX sensitivity (dBm) typ,Standby Current (µA) typ,TX current (mA) (@ 0dBm) max,Output Power (dBm) (Step) typ,Buy On Line,Number of Cores nom,,,,,,
,,,,,,,,,,,,,,,,,,Number of A/D Converters typ,Number of Channels typ,Number of A/D Converters typ,Number of Channels typ,Number of A/D Converters typ,Number of Channels typ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STM32C011D6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 6 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,WLCSP 12 1.7x1.42x0.6 P 0.35 mm,Arm Cortex-M0+,48,-,-,-,-,32,No,-,6,-,-,5,-,"IWDG, SysTick, WWDG",1,9,-,-,-,-,-,-,-,10,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C011F4,"Mainstream Arm Cortex-M0+ MCU with 16 Kbytes of Flash memory, 6 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"TSSOP-20, UFQFPN 20 3x3x0.6 mm",Arm Cortex-M0+,48,-,-,-,-,16,No,-,6,-,-,5,-,"IWDG, SysTick, WWDG",1,15,-,-,-,-,-,-,-,18,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C011F6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 6 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"TSSOP-20, UFQFPN 20 3x3x0.6 mm",Arm Cortex-M0+,48,-,-,-,-,32,No,-,6,-,-,5,-,"IWDG, SysTick, WWDG",1,15,-,-,-,-,-,-,-,18,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,No,-,-,-,-
STM32C011J4,"Mainstream Arm Cortex-M0+ MCU with 16 Kbytes of Flash memory, 6 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,SO-8,Arm Cortex-M0+,48,-,-,-,-,16,No,-,6,-,-,5,-,"IWDG, SysTick, WWDG",1,7,-,-,-,-,-,-,-,6,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C011J6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 6 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,SO-8,Arm Cortex-M0+,48,-,-,-,-,32,No,-,6,-,-,5,-,"IWDG, SysTick, WWDG",1,7,-,-,-,-,-,-,-,6,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,No,-,-,-,-
STM32C031C4,"Mainstream Arm Cortex-M0+ MCU with 16 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,16,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,21,-,-,-,-,-,-,-,45,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C031C6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,21,-,-,-,-,-,-,-,45,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C031F4,"Mainstream Arm Cortex-M0+ MCU with 16 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,TSSOP-20,Arm Cortex-M0+,48,-,-,-,-,16,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,15,-,-,-,-,-,-,-,18,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C031F6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,TSSOP-20,Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,15,-,-,-,-,-,-,-,18,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
